日期,时段,电价,电力负荷,外送电,备用,光伏,风电
2022/6/1,0:15,408,30185,750,4884,0,2825
2022/6/1,0:30,408,30199,750,4466,0,2768
2022/6/1,0:45,408,30078,750,4634,0,2789
2022/6/1,1:00,408,30011,750,4711,0,2881
2022/6/1,1:15,388,30011,750,4450,0,2991
2022/6/1,1:30,388,29969,750,4544,0,3100
2022/6/1,1:45,388,29845,750,4658,0,3227
2022/6/1,2:00,388,29769,750,4782,0,3344
2022/6/1,2:15,362,29854,750,4912,0,3546
2022/6/1,2:30,362,29804,750,4975,0,3763
2022/6/1,2:45,362,29754,750,5140,0,3950
2022/6/1,3:00,362,29719,750,5252,0,4149
2022/6/1,3:15,382,29691,750,5346,0,4323
2022/6/1,3:30,382,29580,750,5439,0,4557
2022/6/1,3:45,382,29610,750,5438,0,4775
2022/6/1,4:00,382,29606,750,5544,0,4943
2022/6/1,4:15,386,29536,750,5555,0,5064
2022/6/1,4:30,386,29596,750,5605,0,5229
2022/6/1,4:45,386,29736,750,5560,0,5390
2022/6/1,5:00,386,29753,750,5598,3,5509
2022/6/1,5:15,365,29861,750,5521,17,5671
2022/6/1,5:30,365,29978,750,5614,45,5813
2022/6/1,5:45,365,30232,750,5448,164,5919
2022/6/1,6:00,365,30402,750,5326,396,5991
2022/6/1,6:15,353,30727,750,5268,670,5973
2022/6/1,6:30,353,30894,750,5140,832,5828
2022/6/1,6:45,353,30891,750,4938,773,5690
2022/6/1,7:00,353,30944,750,4991,1027,5451
2022/6/1,7:15,335,30921,844,4927,1458,5176
2022/6/1,7:30,335,30754,938,5019,1947,4898
2022/6/1,7:45,335,30727,1032,5109,2456,4579
2022/6/1,8:00,335,30630,1126,5424,2979,4499
2022/6/1,8:15,350,30705,1220,5517,3504,4646
2022/6/1,8:30,350,30766,1314,5727,4027,4889
2022/6/1,8:45,350,30810,1408,5957,4529,5337
2022/6/1,9:00,350,30884,1500,6124,5004,5567
2022/6/1,9:15,341,30875,1500,5846,5444,5580
2022/6/1,9:30,341,30792,1500,5932,5842,5444
2022/6/1,9:45,341,30935,1500,6009,6189,5293
2022/6/1,10:00,341,30934,1500,6106,6486,5252
2022/6/1,10:15,334,31056,1500,6161,6732,5200
2022/6/1,10:30,334,31057,1500,6173,6931,5075
2022/6/1,10:45,334,31072,1500,6321,7085,4985
2022/6/1,11:00,334,31226,1500,6462,7198,4928
2022/6/1,11:15,351,31279,1406,6387,7281,4978
2022/6/1,11:30,351,31333,1312,6758,7334,5038
2022/6/1,11:45,351,31162,1218,6788,7362,5104
2022/6/1,12:00,351,30929,1125,7256,7374,5163
2022/6/1,12:15,349,30768,1125,7366,7371,5259
2022/6/1,12:30,349,30685,1125,7460,7358,5304
2022/6/1,12:45,349,30517,1125,7594,7330,5338
