timestamp,power,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity
2019/1/11 16:00,0,0,0,-0.07,44.66
2019/1/11 16:15,0,0,0,-0.13,45.23
2019/1/11 16:30,0,0,0,-0.15,45.6
2019/1/11 16:45,0,0,0,-0.17,45.86
2019/1/11 17:00,0,0,0,-0.21,46.08
2019/1/11 17:15,0,0,0,-0.26,46.34
2019/1/11 17:30,0,0,0,-0.3,46.5
2019/1/11 17:45,0,0,0,-0.33,46.59
2019/1/11 18:00,0,0,0,-0.32,46.5
2019/1/11 18:15,0,0,0,-0.32,46.32
2019/1/11 18:30,0,0,0,-0.32,46.14
2019/1/11 18:45,0,0,0,-0.37,46.22
2019/1/11 19:00,0,0,0,-0.46,46.48
2019/1/11 19:15,0,0,0,-0.53,46.69
2019/1/11 19:30,0,0,0,-0.62,46.91
2019/1/11 19:45,0,0,0,-0.71,47.19
2019/1/11 20:00,0,0,0,-0.85,47.58
2019/1/11 20:15,0,0,0,-0.99,48.05
2019/1/11 20:30,0,0,0,-1.12,48.39
2019/1/11 20:45,0,0,0,-1.19,48.45
2019/1/11 21:00,0,0,0,-1.21,48.27
2019/1/11 21:15,0,0,0,-1.23,48.1
2019/1/11 21:30,0,0,0,-1.23,47.85
2019/1/11 21:45,0,0,0,-1.23,47.55
2019/1/11 22:00,0,0,0,-1.22,47.29
2019/1/11 22:15,0,0,0,-1.23,47.07
2019/1/11 22:30,0,0,0,-1.2,46.63
2019/1/11 22:45,0,0,0,-1.16,46.18
2019/1/11 23:00,0,0,0,-1.16,45.95
2019/1/11 23:15,0,0,0,-1.21,45.9
2019/1/11 23:30,0,0,0,-1.28,45.92
2019/1/11 23:45,0,1.69,0.19,-1.38,46.04
2019/1/12 0:00,0.198915,24.47,13.56,-1.39,46
2019/1/12 0:15,0.497288,69.52,49.42,-1.14,45.28
2019/1/12 0:30,1.065618,101.8,77.36,-0.78,44.42
2019/1/12 0:45,1.406616,150.88,121.4,-0.2,43.03
2019/1/12 1:00,1.875488,183.25,151.06,0.41,41.77
